순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
9,김형준,NC,0.261,16,55,46,3,12,2,0,1,17,7,0,0,8,0,1,20,2,0.370,0.382,0.752,1,0.231,0.000
10,서호철,NC,0.205,16,42,39,6,8,2,0,1,13,4,0,0,3,0,0,10,0,0.333,0.262,0.595,2,0.300,0.500
11,데이비슨,NC,0.204,15,62,54,5,11,2,0,2,19,6,0,0,5,0,3,14,1,0.352,0.306,0.658,2,0.267,0.000
12,신재인,NC,0.192,12,29,26,2,5,0,0,2,11,4,0,0,3,0,0,6,0,0.423,0.276,0.699,0,0.100,0.500
13,김주원,NC,0.185,16,75,65,5,12,1,0,2,19,2,0,0,7,0,3,10,0,0.292,0.293,0.585,2,0.056,0.000
14,김정호,NC,0.143,7,7,7,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0.143,0.143,0.286,0,0.000,0.000
15,천재환,NC,0.125,14,20,16,6,2,1,0,0,3,0,0,0,4,0,0,2,0,0.188,0.300,0.488,0,0.000,0.000
16,고준휘,NC,0.000,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000,0.250,0.250,0,0.000,0.000
16,김한별,NC,0.000,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
16,안중열,NC,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
16,오장한,NC,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
16,오태양,NC,0.000,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
16,허윤,NC,0.000,11,3,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
1,홍대인,SSG,0.667,5,4,3,0,2,1,0,0,3,2,0,0,1,0,0,0,0,1.000,0.750,1.750,0,0.000,0.000
2,채현우,SSG,0.500,11,3,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0.500,0.333,0.833,0,0.000,1.000
3,박성한,SSG,0.483,16,74,58,14,28,9,1,1,42,17,0,0,15,0,1,4,0,0.724,0.595,1.319,8,0.647,0.000
4,고명준,SSG,0.371,16,67,62,9,23,5,0,4,40,12,0,0,5,0,0,13,0,0.645,0.418,1.063,7,0.294,0.000
5,오태곤,SSG,0.308,12,13,13,4,4,1,0,1,8,5,0,0,0,0,0,7,0,0.615,0.308,0.923,1,0.500,0.250
6,최정,SSG,0.305,16,71,59,10,18,7,0,2,31,8,0,1,9,1,2,13,0,0.525,0.408,0.933,3,0.214,0.000
7,안상현,SSG,0.304,12,29,23,7,7,2,0,0,9,1,1,0,5,0,0,5,1,0.391,0.429,0.820,1,0.250,0.750
8,조형우,SSG,0.283,14,51,46,5,13,4,0,0,17,5,1,0,3,0,1,7,0,0.370,0.340,0.710,3,0.333,0.000
9,정준재,SSG,0.258,14,36,31,4,8,0,0,1,11,1,2,0,3,0,0,7,0,0.355,0.324,0.679,3,0.167,0.000
10,에레디아,SSG,0.257,16,71,70,8,18,1,0,4,31,12,0,0,1,0,0,16,2,0.443,0.268,0.711,6,0.259,0.000
11,김성욱,SSG,0.250,16,22,16,4,4,0,0,0,4,2,0,0,6,0,0,5,0,0.250,0.455,0.705,0,0.286,0.000
12,최지훈,SSG,0.196,16,66,56,11,11,3,0,3,23,9,1,1,6,0,2,10,2,0.411,0.292,0.703,2,0.267,0.000
13,한유섬,SSG,0.184,14,46,38,4,7,1,0,0,8,1,0,0,7,0,1,12,2,0.211,0.326,0.537,1,0.100,0.000
14,김재환,SSG,0.103,16,72,58,6,6,0,0,2,12,7,0,1,13,0,0,16,2,0.207,0.264,0.471,2,0.158,0.000
15,이지영,SSG,0.100,10,12,10,2,1,1,0,0,2,0,0,0,2,0,0,1,0,0.200,0.250,0.450,0,0.000,0.333
16,김민준,SSG,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
16,석정우,SSG,0.000,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000,0.500,0.500,0,0.000,0.000
16,임근우,SSG,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
1,조수행,두산,0.500,9,5,4,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0.500,0.500,1.000,0,1.000,0.000
2,박준순,두산,0.396,14,55,53,4,21,3,2,1,31,9,0,0,1,0,1,14,1,0.585,0.418,1.003,7,0.467,0.000
3,김민석,두산,0.316,12,45,38,7,12,1,1,1,18,7,0,1,6,0,0,8,0,0.474,0.400,0.874,2,0.500,0.000
4,박찬호,두산,0.288,16,70,59,14,17,5,0,1,25,6,1,0,10,1,0,13,3,0.424,0.391,0.815,4,0.286,1.000
5,강승호,두산,0.269,11,29,26,2,7,0,0,0,7,2,0,0,2,0,1,9,0,0.269,0.345,0.614,2,0.222,0.000
6,양석환,두산,0.226,15,60,53,3,12,2,0,1,17,4,0,2,5,1,0,13,0,0.321,0.283,0.604,3,0.000,0.000
